OwnerID,Gender,Ethnicity,Age,Income,Occupation,HairColor,CarMake,CarModel,CarAge,EngineSize,BodyStyle,CarCost,FuelType,DrivingStyle,IsModified,MileagePerYear,ServiceHistory
O021,Other,Mixed,46,179899,Teacher,Blonde,Honda,Fit,12,1.6,SUV,24700,Petrol,Aggressive,No,21198,2
O022,Male,Asian,59,79044,Developer,Brown,Skoda,Superb,5,1.6,Wagon,30000,Hybrid,Calm,No,18931,3
O023,Other,Other,37,194997,Doctor,Bald,Ford,Fiesta,10,1.6,Sedan,21600,Petrol,Aggressive,No,23047,1
O024,Other,Hispanic,50,176152,Engineer,Gray,Honda,Fit,19,2.2,Convertible,11100,Hybrid,Calm,No,27248,2
O025,Female,Hispanic,56,36959,Engineer,Red,Hyundai,Sonata,8,3.0,Hatchback,22500,Hybrid,Calm,No,25797,4
O026,Male,Hispanic,41,180838,Lawyer,Gray,BMW,M3,8,1.6,SUV,29800,Electric,Moderate,Yes,25147,0
O027,Male,Hispanic,66,54353,Lawyer,Gray,Hyundai,Accent,19,3.0,Convertible,22400,Diesel,Aggressive,No,22675,5
O028,Male,White,54,108264,Manager,Dyed,Honda,Accord,16,1.2,Hatchback,21400,Hybrid,Aggressive,Yes,9737,3
O029,Other,Mixed,40,105084,Lawyer,Bald,Hyundai,Sonata,0,2.0,Convertible,35700,Electric,Calm,No,27912,2
O030,Other,White,43,172381,Manager,Brown,Ford,Explorer,3,1.0,Wagon,38900,Electric,Moderate,Yes,24894,2
O031,Male,Mixed,34,40342,Unemployed,Bald,Hyundai,Tucson,5,2.2,Convertible,36400,Electric,Moderate,No,7327,4
O032,Male,Black,28,125078,Unemployed,Red,Honda,Fit,15,1.6,Convertible,25200,Diesel,Calm,No,27671,0
O033,Male,Black,26,188179,Engineer,Black,Hyundai,Sonata,5,1.4,Sedan,25700,Diesel,Aggressive,Yes,23895,4
O034,Other,White,53,139249,Student,Gray,Honda,Fit,2,3.0,Coupe,38300,Petrol,Aggressive,Yes,13338,3
O035,Female,Asian,49,154752,Teacher,Dyed,BMW,i3,0,1.4,Coupe,35200,Hybrid,Aggressive,Yes,23343,1
O036,Female,Asian,42,127561,Engineer,Dyed,Honda,Civic,9,1.6,Wagon,28800,Hybrid,Aggressive,Yes,21646,3
O037,Other,Mixed,33,111601,Engineer,Dyed,Toyota,Yaris,15,1.6,Hatchback,10200,Electric,Moderate,Yes,14208,3
O038,Other,Hispanic,65,127893,Teacher,Dyed,Hyundai,Tucson,11,1.0,SUV,21900,Petrol,Aggressive,No,25932,4
O039,Male,Other,49,189088,Developer,Dyed,Hyundai,Elantra,8,4.0,SUV,32600,Diesel,Calm,Yes,24554,2
O040,Female,White,41,135885,Student,Brown,Toyota,Yaris,0,1.2,Sedan,33900,Electric,Aggressive,No,17183,3
O041,Male,Asian,28,131336,Student,Brown,Ford,Focus,7,1.4,SUV,30100,Electric,Aggressive,Yes,10539,5
O042,Other,Black,65,148629,Engineer,Blonde,Hyundai,Accent,2,1.6,SUV,40100,Diesel,Aggressive,No,7200,4
O043,Female,Other,35,193047,Artist,Gray,Skoda,Superb,13,1.4,Coupe,25000,Petrol,Aggressive,Yes,25817,1
O044,Other,Other,58,109179,Manager,Blonde,Toyota,Corolla,0,2.0,Sedan,40600,Petrol,Moderate,No,10699,0
O045,Male,White,31,106412,Teacher,Gray,Honda,Fit,15,4.0,Sedan,27100,Diesel,Aggressive,Yes,8987,2
O046,Male,Black,29,122450,Teacher,Brown,Honda,Fit,18,3.0,Wagon,27500,Hybrid,Aggressive,No,17757,5
O047,Other,Hispanic,63,131381,Developer,Bald,Hyundai,Tucson,5,3.0,Wagon,35600,Diesel,Calm,Yes,19565,4
O048,Other,White,44,64377,Student,Blonde,Audi,TT,0,2.2,Hatchback,34300,Hybrid,Aggressive,No,12022,0
O049,Male,Asian,22,108179,Unemployed,Black,Honda,CR-V,15,1.6,Coupe,18400,Hybrid,Calm,No,17946,3
O050,Male,Black,34,139123,Manager,Red,Honda,Fit,13,4.0,Coupe,24300,Diesel,Aggressive,Yes,8444,5
O051,Male,Black,52,178707,Manager,Red,Audi,A4,8,2.2,Wagon,28800,Petrol,Aggressive,No,6060,4
O052,Other,White,52,139019,Teacher,Brown,BMW,M3,0,1.4,Coupe,32400,Diesel,Moderate,No,24711,2
O053,Other,White,35,180656,Doctor,Dyed,Ford,Fiesta,9,2.0,Hatchback,28200,Petrol,Aggressive,Yes,27238,5
O054,Male,Hispanic,41,87991,Artist,Dyed,Ford,Explorer,14,1.0,Convertible,26800,Diesel,Moderate,Yes,16093,1
O055,Female,Other,44,25729,Engineer,Bald,Audi,A3,1,4.0,Coupe,39200,Hybrid,Moderate,No,17249,0
O056,Other,Asian,59,165262,Lawyer,Blonde,Audi,Q5,2,2.0,Convertible,40900,Diesel,Moderate,No,23225,0
O057,Male,White,41,154788,Doctor,Black,BMW,M3,6,3.0,Hatchback,32900,Hybrid,Moderate,Yes,29376,3
O058,Male,White,63,85031,Lawyer,Blonde,Audi,A4,13,1.2,Wagon,25100,Electric,Calm,Yes,27386,3
O059,Female,Asian,51,157038,Engineer,Black,Toyota,Prius,18,3.0,Convertible,21400,Diesel,Moderate,No,25153,5
O060,Other,Black,39,46024,Engineer,Red,BMW,M3,19,1.2,Hatchback,5300,Petrol,Calm,Yes,9777,5
O061,Female,Black,32,110285,Lawyer,Black,Hyundai,Sonata,10,1.4,SUV,30600,Petrol,Aggressive,Yes,7491,4
O062,Female,Black,61,194819,Student,Bald,Audi,A4,4,1.6,Sedan,29800,Electric,Moderate,Yes,26606,3
O063,Female,Other,23,178165,Unemployed,Brown,Skoda,Superb,14,1.2,Coupe,11900,Petrol,Calm,Yes,20202,3
O064,Female,Hispanic,43,105852,Teacher,Brown,Audi,Q5,8,2.2,Coupe,16400,Electric,Moderate,Yes,6931,4
O065,Other,Other,18,81617,Developer,Bald,Toyota,Yaris,0,3.0,Hatchback,36900,Electric,Aggressive,No,18407,5
O066,Male,Other,56,44375,Artist,Bald,BMW,320i,4,2.0,Sedan,32900,Hybrid,Aggressive,No,20125,4
O067,Female,Asian,20,82215,Artist,Gray,Honda,Fit,18,2.2,Coupe,18600,Diesel,Aggressive,Yes,18284,5
O068,Other,Black,29,58919,Unemployed,Black,Hyundai,Tucson,15,1.2,Wagon,21300,Diesel,Calm,No,27868,3
O069,Female,Asian,50,71573,Artist,Brown,Skoda,Octavia,4,1.2,Hatchback,28400,Electric,Calm,No,10881,1
O070,Female,Mixed,22,31364,Teacher,Brown,Skoda,Superb,3,1.2,Wagon,33200,Electric,Aggressive,No,24223,1
O071,Female,Asian,66,64115,Lawyer,Brown,Audi,A4,19,1.0,SUV,20900,Electric,Calm,No,23071,3
O072,Other,Other,50,116042,Artist,Black,Honda,Civic,10,1.6,Coupe,17000,Petrol,Aggressive,No,27116,3
O073,Male,Mixed,20,53304,Lawyer,Blonde,Honda,Civic,7,2.0,SUV,28400,Electric,Moderate,Yes,8913,2
O074,Male,Mixed,34,109297,Manager,Gray,Hyundai,Elantra,7,2.2,SUV,24300,Diesel,Moderate,Yes,28132,1
O075,Female,Black,27,90353,Teacher,Bald,Ford,Fiesta,1,4.0,Wagon,46800,Electric,Calm,Yes,29690,0
O076,Other,Hispanic,67,172164,Lawyer,Red,Skoda,Superb,10,2.0,Sedan,23800,Petrol,Moderate,Yes,5412,3
O077,Male,White,42,75692,Artist,Brown,Audi,A4,3,1.6,Wagon,33900,Electric,Calm,Yes,16657,4
O078,Male,Asian,66,98042,Teacher,Black,Ford,Focus,15,1.0,SUV,20100,Diesel,Calm,No,22955,1
O079,Other,Asian,66,180983,Artist,Red,Skoda,Fabia,4,3.0,Wagon,37700,Electric,Calm,Yes,17043,0
O080,Male,Asian,52,167424,Student,Brown,Audi,A3,16,1.4,Convertible,21100,Electric,Calm,No,17144,5
O081,Female,White,37,193031,Student,Dyed,BMW,320i,12,1.4,Hatchback,22400,Diesel,Calm,No,5698,2
O082,Male,Mixed,69,69098,Lawyer,Red,Toyota,Prius,14,1.0,SUV,17300,Petrol,Aggressive,No,13335,4
O083,Female,Asian,22,117795,Teacher,Bald,Toyota,Corolla,19,2.2,Wagon,19300,Petrol,Aggressive,No,16130,4
O084,Male,Black,56,99076,Engineer,Blonde,Audi,TT,9,3.0,Hatchback,30300,Hybrid,Calm,Yes,26689,5
O085,Other,White,48,118033,Artist,Bald,Honda,Fit,4,1.0,Sedan,23900,Diesel,Aggressive,No,28714,4
O086,Male,Asian,29,194208,Manager,Blonde,Hyundai,Elantra,9,2.2,Convertible,23800,Petrol,Calm,Yes,22337,3
O087,Other,Other,34,190333,Lawyer,Bald,Skoda,Fabia,6,1.6,Coupe,24700,Electric,Calm,No,26677,4
O088,Other,Asian,44,34065,Engineer,Gray,Audi,Q5,1,1.6,Hatchback,25400,Electric,Calm,No,22924,4
O089,Female,Mixed,54,69693,Teacher,Blonde,Toyota,Corolla,18,2.2,Wagon,22200,Hybrid,Moderate,Yes,18807,4
O090,Female,Asian,24,183152,Manager,Bald,Skoda,Octavia,12,1.4,Sedan,18400,Petrol,Moderate,Yes,8141,3
O091,Other,Asian,48,180650,Artist,Black,Hyundai,Tucson,11,1.6,Coupe,18200,Diesel,Calm,No,10301,2
O092,Female,Other,20,101188,Engineer,Black,Audi,Q5,12,1.4,Hatchback,14900,Electric,Aggressive,No,26233,3
O093,Female,Black,37,159188,Unemployed,Brown,BMW,320i,8,2.2,Wagon,20900,Electric,Moderate,No,15150,0
O094,Other,Black,66,38960,Manager,Blonde,Hyundai,Tucson,0,2.0,Convertible,37800,Diesel,Moderate,Yes,10029,4
O095,Male,Other,23,51395,Student,Dyed,Toyota,Camry,12,1.0,Wagon,18700,Diesel,Calm,Yes,27700,4
O096,Male,Black,38,36732,Doctor,Blonde,Skoda,Superb,3,4.0,Wagon,34500,Electric,Moderate,No,18843,0
O097,Female,Asian,35,86726,Developer,Gray,Honda,CR-V,8,1.0,Coupe,19500,Hybrid,Calm,No,24760,5
O098,Male,Asian,40,170576,Teacher,Brown,Skoda,Octavia,10,1.4,SUV,30400,Electric,Calm,Yes,18323,1
O099,Other,Mixed,49,26023,Engineer,Gray,Skoda,Kodiaq,7,1.4,Convertible,24300,Electric,Aggressive,No,29933,3
O100,Female,Hispanic,45,76529,Artist,Blonde,Skoda,Superb,7,1.4,Coupe,22100,Hybrid,Aggressive,No,24129,3
O101,Male,Black,67,48307,Lawyer,Blonde,Skoda,Fabia,4,3.0,Wagon,33700,Hybrid,Calm,Yes,9835,2
O102,Female,Mixed,50,70284,Artist,Red,Honda,CR-V,19,1.0,Hatchback,22400,Electric,Moderate,No,7779,4
O103,Male,Mixed,30,180421,Developer,Red,Toyota,Corolla,2,1.6,SUV,24600,Diesel,Aggressive,Yes,24708,5
O104,Male,White,47,169865,Artist,Blonde,Honda,Accord,12,2.2,Convertible,31600,Diesel,Aggressive,No,10124,0
O105,Female,Asian,18,115497,Teacher,Gray,Audi,A3,14,2.2,Coupe,11800,Diesel,Calm,Yes,19512,2
O106,Male,Other,39,21970,Manager,Brown,Ford,Mustang,16,2.0,Sedan,24800,Electric,Moderate,Yes,18772,0
O107,Female,Hispanic,51,90880,Teacher,Gray,Audi,Q5,2,2.2,Hatchback,34100,Electric,Aggressive,Yes,13702,0
O108,Male,White,22,95642,Artist,Dyed,Hyundai,Accent,4,1.6,Wagon,38800,Petrol,Moderate,No,8636,4
O109,Other,Mixed,27,178273,Unemployed,Red,Skoda,Kodiaq,18,2.0,SUV,10700,Petrol,Moderate,Yes,18456,4
O110,Other,White,68,68932,Engineer,Red,BMW,M3,12,1.6,SUV,20500,Diesel,Calm,No,29323,5
O111,Male,Other,18,52744,Lawyer,Bald,Ford,Mustang,7,2.0,Sedan,22900,Petrol,Moderate,No,15015,1
O112,Female,Other,43,76877,Engineer,Gray,Audi,TT,2,3.0,SUV,32500,Hybrid,Aggressive,Yes,9363,0
O113,Male,Black,61,121884,Doctor,Bald,BMW,i3,16,2.0,Wagon,25400,Hybrid,Calm,Yes,26103,4
O114,Female,Black,68,74494,Artist,Dyed,Audi,TT,5,2.2,Hatchback,33800,Petrol,Aggressive,Yes,18051,1
O115,Female,Other,55,70393,Doctor,Gray,Hyundai,Tucson,17,1.4,Hatchback,17100,Diesel,Calm,Yes,11941,2
O116,Other,Mixed,55,112239,Manager,Brown,BMW,M3,14,1.0,Wagon,15700,Diesel,Calm,Yes,26499,5
O117,Female,Mixed,59,58088,Student,Dyed,Honda,CR-V,4,2.0,Hatchback,36100,Petrol,Moderate,No,9892,3
O118,Male,Mixed,34,34963,Developer,Red,Hyundai,Sonata,19,4.0,SUV,18300,Diesel,Calm,Yes,9164,1
O119,Other,Black,23,29388,Artist,Bald,Ford,Explorer,1,4.0,Coupe,30500,Hybrid,Aggressive,No,9300,5
O120,Male,Asian,68,152326,Artist,Gray,Ford,Explorer,15,1.2,Sedan,20700,Electric,Moderate,Yes,11238,2
O121,Other,Asian,33,39071,Developer,Red,BMW,M3,3,1.6,Wagon,33900,Electric,Aggressive,Yes,17647,3
O122,Other,Black,20,179506,Engineer,Blonde,Hyundai,Sonata,17,1.4,Sedan,14300,Electric,Moderate,No,28161,2
O123,Female,Mixed,36,72108,Developer,Black,Audi,A3,4,4.0,Sedan,32800,Electric,Moderate,No,26969,3
O124,Male,Mixed,23,145560,Engineer,Red,Skoda,Superb,4,3.0,Sedan,31600,Electric,Moderate,No,11376,3
O125,Other,Mixed,43,66745,Unemployed,Gray,BMW,X5,16,1.4,Hatchback,13300,Petrol,Calm,No,19124,2
O126,Male,White,47,165334,Manager,Brown,Hyundai,Elantra,15,2.0,Sedan,20100,Diesel,Aggressive,Yes,25028,0
O127,Other,Hispanic,43,79291,Teacher,Black,Ford,Fiesta,0,4.0,SUV,38100,Hybrid,Aggressive,No,19178,4
O128,Female,White,39,154789,Student,Blonde,Skoda,Octavia,13,1.4,Convertible,21400,Hybrid,Aggressive,Yes,16479,1
O129,Other,Other,62,120113,Doctor,Blonde,Hyundai,Sonata,13,1.4,Sedan,22700,Petrol,Moderate,Yes,20034,2
O130,Male,Black,63,53638,Lawyer,Red,BMW,M3,12,1.0,Convertible,21600,Hybrid,Calm,No,24729,1
O131,Female,Hispanic,55,120186,Engineer,Gray,Honda,CR-V,18,1.4,Sedan,10900,Hybrid,Moderate,No,8086,0
O132,Male,White,56,65448,Engineer,Brown,BMW,M3,6,4.0,Wagon,34900,Diesel,Aggressive,No,11229,1
O133,Male,Hispanic,61,19632,Lawyer,Black,Hyundai,Accent,16,2.2,Hatchback,7500,Petrol,Calm,Yes,8596,3
O134,Other,Black,58,140036,Manager,Black,BMW,M3,17,4.0,Coupe,19000,Hybrid,Moderate,No,11371,5
O135,Other,Asian,51,27910,Developer,Bald,Skoda,Superb,7,1.0,Wagon,15000,Diesel,Aggressive,No,17199,0
O136,Male,Mixed,54,63447,Unemployed,Dyed,BMW,X5,1,2.0,Sedan,38300,Electric,Calm,No,15167,2
O137,Male,Hispanic,62,127581,Manager,Dyed,BMW,320i,4,1.4,Convertible,25700,Electric,Aggressive,Yes,22844,5
O138,Female,Black,65,173211,Artist,Bald,Toyota,Camry,10,1.4,Convertible,16500,Petrol,Aggressive,Yes,24901,5
O139,Male,White,47,159990,Teacher,Brown,Toyota,Camry,8,1.6,SUV,12700,Diesel,Calm,No,18046,2
O140,Other,Black,53,24111,Artist,Blonde,BMW,M3,5,1.4,Wagon,31200,Petrol,Moderate,No,28873,3
O141,Other,Black,45,174818,Manager,Dyed,Audi,A3,3,1.2,Coupe,29400,Hybrid,Calm,Yes,27350,5
O142,Female,Other,55,28234,Manager,Gray,Toyota,Yaris,1,1.0,Coupe,33300,Petrol,Aggressive,No,5846,2
O143,Female,Asian,25,61514,Manager,Red,Ford,Focus,12,1.0,Hatchback,16200,Electric,Moderate,No,11469,1
O144,Male,Mixed,50,191659,Student,Red,Honda,Civic,16,4.0,SUV,13000,Diesel,Aggressive,No,11283,0
O145,Male,Mixed,43,93477,Teacher,Bald,Toyota,Camry,5,3.0,SUV,30700,Petrol,Aggressive,No,6828,5
O146,Female,Asian,60,62362,Artist,Red,BMW,i3,0,2.0,Coupe,27900,Petrol,Calm,No,17977,1
O147,Male,Mixed,22,102958,Engineer,Bald,Toyota,Corolla,9,1.4,Sedan,28800,Diesel,Aggressive,No,7219,1
O148,Other,Hispanic,18,147414,Unemployed,Gray,Skoda,Fabia,4,3.0,Wagon,29100,Hybrid,Aggressive,Yes,15568,0
O149,Other,Asian,26,108070,Artist,Dyed,Skoda,Octavia,5,1.6,Coupe,25400,Petrol,Aggressive,No,8490,5
O150,Female,Mixed,28,99555,Engineer,Brown,Skoda,Superb,2,2.2,Convertible,39900,Diesel,Moderate,Yes,23944,5
O151,Other,Black,46,23007,Manager,Black,Audi,A3,10,1.6,SUV,20800,Petrol,Calm,No,14064,4
O152,Other,Black,38,30524,Student,Dyed,Hyundai,Sonata,4,1.2,Convertible,26200,Hybrid,Moderate,Yes,24282,2
O153,Male,White,31,140501,Engineer,Black,Audi,Q5,3,1.4,Coupe,38300,Petrol,Moderate,Yes,21984,4
O154,Female,White,25,175359,Lawyer,Blonde,BMW,M3,13,3.0,Convertible,27100,Hybrid,Moderate,No,11943,2
O155,Other,White,55,117974,Manager,Black,Skoda,Kodiaq,14,4.0,Sedan,17900,Hybrid,Moderate,Yes,14184,0
O156,Other,Asian,19,164453,Artist,Bald,Ford,Focus,7,1.4,Sedan,17700,Electric,Aggressive,Yes,9018,2
O157,Female,Asian,23,69917,Manager,Gray,Audi,A3,2,1.6,SUV,32900,Hybrid,Moderate,Yes,22586,1
O158,Male,Black,46,20408,Lawyer,Blonde,Hyundai,Tucson,19,2.2,Coupe,13300,Electric,Calm,Yes,14446,2
O159,Other,Hispanic,53,66356,Artist,Blonde,Toyota,Yaris,5,1.0,Sedan,31200,Petrol,Aggressive,Yes,6120,4
O160,Female,White,21,34029,Developer,Black,BMW,320i,1,1.4,Coupe,27500,Diesel,Aggressive,No,9612,2
O161,Other,Asian,27,189944,Engineer,Brown,Ford,Explorer,5,4.0,Hatchback,44300,Hybrid,Aggressive,No,27412,3
O162,Female,White,32,35103,Engineer,Bald,Toyota,Camry,4,2.0,Hatchback,25300,Hybrid,Moderate,No,19382,3
O163,Female,White,29,149828,Developer,Bald,Audi,A4,1,2.2,Wagon,35500,Electric,Aggressive,No,20770,2
O164,Other,Mixed,60,145330,Teacher,Black,Audi,TT,4,1.4,SUV,38200,Electric,Moderate,No,10779,2
O165,Male,Other,27,91325,Teacher,Dyed,Hyundai,Elantra,5,1.2,SUV,28300,Diesel,Moderate,Yes,17999,1
O166,Female,White,42,161400,Doctor,Bald,Honda,CR-V,14,3.0,SUV,35200,Diesel,Calm,Yes,5827,2
O167,Male,Black,29,185987,Doctor,Red,BMW,i3,3,2.0,SUV,37000,Hybrid,Moderate,Yes,20343,3
O168,Male,Asian,48,124945,Unemployed,Dyed,Ford,Fiesta,8,1.0,Convertible,27400,Hybrid,Moderate,No,26493,2
O169,Male,Mixed,46,190399,Artist,Blonde,Ford,Explorer,8,1.0,Convertible,19100,Electric,Calm,No,8797,2
O170,Male,Black,38,147717,Developer,Gray,Honda,CR-V,3,1.6,Wagon,29600,Diesel,Calm,Yes,24414,0
O171,Other,Black,18,115158,Engineer,Dyed,BMW,320i,18,3.0,SUV,25000,Electric,Calm,No,26415,4
O172,Male,Hispanic,27,54224,Artist,Brown,Audi,TT,8,1.0,Convertible,20500,Diesel,Moderate,No,12970,3
O173,Other,Hispanic,42,154649,Unemployed,Red,Skoda,Kodiaq,6,1.6,Wagon,28000,Hybrid,Calm,No,13666,1
O174,Male,Asian,61,142738,Engineer,Bald,Ford,Explorer,18,1.4,Wagon,18700,Diesel,Moderate,Yes,22589,0
O175,Male,Other,24,191837,Student,Dyed,Audi,A4,0,3.0,Coupe,45200,Hybrid,Aggressive,Yes,27704,4
O176,Male,Black,45,162313,Engineer,Gray,Hyundai,Tucson,16,4.0,Hatchback,27600,Diesel,Moderate,No,22350,0
O177,Other,White,37,34816,Lawyer,Dyed,Skoda,Fabia,16,2.2,SUV,18900,Electric,Aggressive,Yes,9243,5
O178,Other,White,57,166878,Student,Dyed,Toyota,Yaris,0,2.2,Hatchback,40000,Electric,Moderate,Yes,6759,4
O179,Other,Asian,47,107374,Manager,Brown,BMW,X5,18,1.4,Sedan,12600,Electric,Calm,Yes,29442,2
O180,Female,Black,66,188532,Artist,Black,Honda,Fit,15,2.2,Wagon,8800,Hybrid,Moderate,Yes,28570,1
O181,Male,Mixed,18,79077,Engineer,Bald,Ford,Mustang,18,2.2,Convertible,5000,Electric,Moderate,Yes,20534,1
O182,Other,Asian,67,26485,Engineer,Brown,Audi,A3,5,4.0,Wagon,38500,Electric,Moderate,Yes,26310,3
O183,Female,Black,18,67487,Teacher,Blonde,Toyota,Corolla,6,3.0,Wagon,34200,Petrol,Moderate,Yes,21002,1
O184,Other,Other,50,120947,Teacher,Black,Honda,CR-V,17,4.0,Wagon,14400,Hybrid,Aggressive,No,24846,4
O185,Male,Mixed,25,125904,Doctor,Red,Toyota,Camry,2,2.0,Convertible,44900,Petrol,Aggressive,Yes,19295,2
O186,Male,Hispanic,64,87258,Developer,Brown,Hyundai,Accent,18,2.0,Hatchback,16700,Petrol,Aggressive,No,29160,3
O187,Other,Hispanic,64,79929,Unemployed,Blonde,Toyota,Corolla,2,2.2,SUV,38600,Electric,Calm,No,7143,5
O188,Female,Other,33,134235,Manager,Bald,Skoda,Octavia,19,2.2,SUV,17500,Hybrid,Aggressive,No,13356,5
O189,Female,White,38,101925,Student,Dyed,Ford,Mustang,15,1.4,Wagon,9500,Hybrid,Moderate,Yes,19289,1
O190,Female,Hispanic,19,188952,Teacher,Dyed,Skoda,Superb,14,2.0,Wagon,28800,Electric,Calm,Yes,28236,3
O191,Other,Asian,28,118145,Teacher,Black,BMW,M3,1,2.0,Wagon,30600,Petrol,Moderate,No,9566,3
O192,Other,Asian,47,126496,Engineer,Gray,Honda,CR-V,1,1.0,Wagon,36100,Petrol,Moderate,Yes,12083,2
O193,Female,Black,69,163843,Developer,Gray,BMW,320i,16,1.2,Convertible,17000,Petrol,Aggressive,Yes,20517,2
O194,Male,Other,34,174601,Student,Dyed,Skoda,Superb,18,1.6,Hatchback,16000,Hybrid,Aggressive,Yes,7573,0
O195,Female,Other,57,114608,Doctor,Blonde,Skoda,Fabia,6,3.0,Convertible,25000,Diesel,Aggressive,No,28752,5
O196,Female,Mixed,43,141678,Lawyer,Black,BMW,M3,4,1.2,Sedan,37700,Electric,Moderate,Yes,21458,5
O197,Male,Mixed,35,76268,Engineer,Black,Toyota,Prius,9,2.0,Coupe,27000,Hybrid,Calm,Yes,10475,0
O198,Female,Hispanic,42,136829,Developer,Black,Skoda,Kodiaq,11,3.0,Coupe,16500,Petrol,Aggressive,Yes,6622,4
O199,Male,Mixed,59,31725,Manager,Blonde,Honda,Accord,5,2.0,Hatchback,37300,Electric,Calm,Yes,9263,1
O200,Female,Black,24,157736,Engineer,Blonde,Hyundai,Elantra,13,3.0,Hatchback,28100,Electric,Moderate,Yes,25609,3
O201,Female,Asian,60,165322,Manager,Dyed,Honda,CR-V,3,2.0,Sedan,35100,Hybrid,Calm,Yes,26874,1
O202,Male,Asian,56,131021,Lawyer,Red,Hyundai,Sonata,1,1.2,Convertible,30800,Hybrid,Calm,No,25534,5
O203,Male,Hispanic,39,135900,Developer,Bald,Skoda,Octavia,0,1.2,Convertible,33800,Electric,Moderate,No,12715,3
O204,Other,Hispanic,34,136789,Developer,Blonde,Toyota,Camry,12,2.0,Wagon,20600,Electric,Moderate,Yes,11122,1
O205,Other,Other,26,178993,Doctor,Gray,Ford,Mustang,1,1.4,Hatchback,32700,Petrol,Aggressive,No,6524,0
O206,Male,Mixed,42,146132,Doctor,Brown,Ford,Mustang,10,1.6,Coupe,21500,Hybrid,Calm,Yes,23023,1
O207,Male,Black,42,28350,Engineer,Bald,Skoda,Fabia,2,1.4,Coupe,34000,Diesel,Aggressive,Yes,17418,1
O208,Female,Other,47,35581,Lawyer,Black,BMW,M3,1,1.6,Hatchback,37100,Hybrid,Calm,Yes,28051,2
O209,Female,Asian,54,140995,Engineer,Red,Audi,A3,16,1.2,Wagon,16000,Petrol,Moderate,Yes,8004,0
O210,Female,Other,64,166563,Manager,Bald,Honda,Civic,15,1.2,Convertible,20500,Diesel,Moderate,No,29791,2
O211,Female,Mixed,25,158326,Manager,Dyed,Honda,Civic,16,4.0,Convertible,26200,Petrol,Moderate,Yes,6750,4
O212,Male,White,42,92454,Manager,Bald,Hyundai,Sonata,8,2.2,Convertible,28700,Hybrid,Aggressive,No,29428,1
O213,Male,Other,64,174007,Unemployed,Bald,BMW,M3,9,1.4,Coupe,25200,Petrol,Calm,Yes,9806,0
O214,Female,White,24,59813,Artist,Dyed,BMW,320i,14,1.6,Convertible,12800,Petrol,Calm,No,13820,0
